| No | タイトル                                                                                                                                    | 文献名                                                                                                                                     | 概要                                                                                                                                                                                                | 文献URL候補                                                                                                                                     | コード                                                                                                                             | 発表ページ                                                                                                                                    |
| -: | --------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------- |
|  1 | Using Synthetic Data to Learn from Federated, Private Client Data                                                                       | Private Federated Learning using Preference-Optimized Synthetic Data / PrE-Text                                                         | Federated client dataを直接学習せず、DP合成データを介して中央側で学習する方向。POPriはprivate client feedbackをpreferenceとして扱い、LLMのpreference optimizationでDP合成データ品質を高める。PrE-Textはprivate federated dataから合成テキストを作り、LM学習に使う枠組み。 | [https://arxiv.org/abs/2504.16438](https://arxiv.org/abs/2504.16438) / [https://arxiv.org/abs/2406.02958](https://arxiv.org/abs/2406.02958) | [https://github.com/meiyuw/POPri](https://github.com/meiyuw/POPri)                                                              | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
|  2 | Understanding Private Evolution as Learning-Augmented Clustering                                                                        | Understanding Private Evolution as Learning-Augmented Clustering                                                                        | Private Evolutionを、learning-augmented clustering / 生成モデル補助付きWasserstein学習として理論的に捉える発表。公開preprintは現時点で未確認。                                                                                         | 公開preprint未確認 / 著者ページ: [https://felix-zhou.com/](https://felix-zhou.com/)                                                            | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
|  3 | ContinuousBench: Can Differentially Private Synthetic Text Improve Capabilities?                                                        | ContinuousBench: Can Differentially Private Synthetic Text Improve Capabilities?                                                        | DP合成テキストが、機密コーパスに含まれる新しい知識・能力をモデルへ移転できるかを評価するベンチマーク。既存評価が過大評価気味であるという問題意識から、継続更新される新規コーパスとQAで能力移転を測る。                                                                                             | [https://arxiv.org/abs/2606.01849](https://arxiv.org/abs/2606.01849)                                                                        | Eval: [https://github.com/plau666/ContinuousBenchEval](https://github.com/plau666/ContinuousBenchEval) / Curation: [https://github.com/plau666/ContinuousBenchCuration](https://github.com/plau666/ContinuousBenchCuration) / Dataset: [https://huggingface.co/ContinuousBench](https://huggingface.co/ContinuousBench) | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
|  4 | Privately Fine-Tuned LLMs Preserve Temporal Dynamics in Tabular Data                                                                    | Privately Fine-Tuned LLMs Preserve Temporal Dynamics in Tabular Data                                                                    | 縦断・時系列構造を持つ表形式データに対し、DP fine-tuned LLMで合成データを生成する研究。PATHにより、ユーザー単位の時系列テーブルを生成単位として扱い、通常のマージナル型手法では失われやすい時間的ダイナミクスの保持を狙う。                                                                          | [https://arxiv.org/abs/2602.02766](https://arxiv.org/abs/2602.02766)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
|  5 | Aim High, Stay Private: Differentially Private Synthetic Data Enables Public Release of Behavioral Health Information with High Utility | Aim High, Stay Private: Differentially Private Synthetic Data Enables Public Release of Behavioral Health Information with High Utility | Oura Ring等のウェアラブル由来データと自己申告データを含むLEMURSデータセットに対し、AIMでDP合成データを生成・公開する実践研究。健康・行動データ公開におけるutilityとprivacyのトレードオフ評価が中心。                                                                               | [https://arxiv.org/abs/2507.02971](https://arxiv.org/abs/2507.02971)                                                                        | データ: [https://datadryad.org/dataset/doi%3A10.5061/dryad.zgmsbcct8](https://datadryad.org/dataset/doi%3A10.5061/dryad.zgmsbcct8) | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
|  6 | Differentially Private Modeling of Disease Transmission within Human Contact Networks                                                   | Differentially Private Modeling of Disease Transmission within Human Contact Networks                                                   | 人の接触ネットワーク上で感染症伝播をモデル化する研究。node-level DPでネットワーク統計量を保護し、SBM/ERGM等の統計的ネットワークモデルから合成ネットワークを生成し、感染シミュレーションに利用する。                                                                                      | [https://arxiv.org/abs/2604.07493](https://arxiv.org/abs/2604.07493)                                                                        | [https://github.com/shlomihod/epidp](https://github.com/shlomihod/epidp)                                                            | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
|  7 | Efficient Distributed Differentially Private Synthetic Data with High Utility via Secure Aggregation                                    | Efficient Distributed Differentially Private Synthetic Data with High Utility via Secure Aggregation                                    | Federated環境でAIM型DP合成データ生成を行う研究。Secure AggregationとGaussian Top-kを組み合わせ、生データを中央に集めずに重要クエリを選択するDistributed AIMを実現する方向。                                                                              | [https://www.uvm.edu/~jnear/papers/distributed_aim.pdf](https://www.uvm.edu/~jnear/papers/distributed_aim.pdf)                              | 公式コード未確認（関連実装は当該研究の公式コードとして扱わない）                                                                       | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
|  8 | MAPLE: Metadata Augmented Private Language Evolution                                                                                    | MAPLE: Metadata Augmented Private Language Evolution                                                                                    | Private EvolutionによるDP synthetic text生成を、DP抽出した表形式メタデータとin-context learningで改善する研究。対象ドメインから初期合成分布が外れる問題を緩和し、収束・品質・APIコストを改善する。                                                                    | [https://arxiv.org/abs/2603.19258](https://arxiv.org/abs/2603.19258)                                                                        | 公式コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
|  9 | Optimal Domain-Aware Privacy Mechanisms for Synthetic Data Generation                                                                   | Optimal Domain-Aware Privacy Mechanisms for Synthetic Data Generation                                                                   | 合成データ生成において、属性ドメインやカテゴリ構造を考慮したDP機構を設計する研究。公開preprintは現時点で未確認。                                                                                                                                     | 公開preprint未確認 / ICML掲載候補: [https://icml.cc/Downloads/2026](https://icml.cc/Downloads/2026)                                          | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 10 | Phantoms and Disclosures: a Causal Framework for Auditing Synthetic Data                                                                | Phantoms and Disclosures: a Causal Framework for Auditing Synthetic Data                                                                | 合成データの開示リスクを監査する研究。合成データ中の開示が訓練データ由来のtrue disclosureか、分布上偶然生じたphantom disclosureかを区別する枠組みを提案。モデル内部アクセスやcanary挿入なしで監査できる点が実用的。                                                                     | [https://arxiv.org/abs/2606.16952](https://arxiv.org/abs/2606.16952)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 11 | Fast-MWEM: Private Data Release in Sublinear Time                                                                                       | Fast-MWEM: Private Data Release in Sublinear Time                                                                                       | MWEMのクエリ選択部分を高速化する研究。従来、反復ごとに線形時間を要する指数メカニズムのボトルネックを、lazy sampling等により劣線形化し、DP線形クエリ回答や合成ヒストグラム生成のスケーラビリティを改善する。                                                                                   | [https://arxiv.org/abs/2602.03732](https://arxiv.org/abs/2602.03732)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/pdfs/haris.pdf](https://tpdp.journalprivacyconfidentiality.org/2026/pdfs/haris.pdf) |
| 12 | Weighted Fourier Factorizations: Optimal Gaussian Noise for Differentially Private Marginal and Product Queries                         | Weighted Fourier Factorizations: Optimal Gaussian Noise for Differentially Private Marginal and Product Queries                         | DPでmarginal query / product queryをリリースする際の最適な相関付きGaussian noise設計。Fourier基底でクエリを測定し、逆変換でマージナルを復元する。AIM/MST/Private-PGM系の測定ステップの基盤技術。                                                              | [https://arxiv.org/abs/2512.21499](https://arxiv.org/abs/2512.21499)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 13 | LAPRAS: Learning-Augmented PRivate Answering for linear query Streams                                                                   | LAPRAS: Learning-Augmented PRivate Answering for linear query Streams                                                                   | 線形クエリが逐次到着するオンラインDPクエリ回答の研究。将来到着しそうなクエリの予測集合を使い、予測内はoffline-optimalなMatrix Mechanism、予測外は残余予算で対応する。                                                                                               | [https://arxiv.org/abs/2605.01960](https://arxiv.org/abs/2605.01960)                                                                        | [https://github.com/mundrapranay/learning-augmented-privacy/tree/icml2026](https://github.com/mundrapranay/learning-augmented-privacy/tree/icml2026) | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 14 | ACME: Approximate Chebyshev Moment Estimation for Differentially Private Synthetic Data                                                 | ACME: Approximate Chebyshev Moment Estimation for Differentially Private Synthetic Data                                                 | Chebyshevモーメント推定を用いたDP合成データ生成研究。低次マージナルではなく、分布のモーメント情報をDPに測定し、それに合う分布を復元する方向。公開preprintは現時点で未確認。                                                                                                  | 公開preprint未確認（参考: 関連するChebyshev moment matching系文献 [https://arxiv.org/abs/2408.12385](https://arxiv.org/abs/2408.12385)。ACMEそのものとは区別） | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 15 | Differentially Private Language Generation in the Limit                                                                                 | Differentially Private Language Generation and Identification in the Limit                                                              | DP制約下での言語生成・言語同定を理論的に扱う研究。生成についてはDPが質的な不可能性を生まない場合がある一方、言語同定ではDPによる根本的な障壁が生じることを示す。                                                                                                               | [https://arxiv.org/abs/2604.08504](https://arxiv.org/abs/2604.08504)                                                                        | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 16 | Differentially Private Linear Regression and Synthetic Data Generation with Statistical Guarantees                                      | Differentially Private Linear Regression and Synthetic Data Generation with Statistical Guarantees                                      | DP線形回帰と統計的保証付き合成データ生成を接続する研究。点推定だけでなく、信頼区間などの統計推論と整合する合成データ生成を扱う。合成データのutilityを、マージナル保存ではなく回帰分析の保証で評価する点が特徴。                                                                                      | [https://arxiv.org/abs/2510.16974](https://arxiv.org/abs/2510.16974)                                                                        | [https://github.com/Shuronglin/BinAgg](https://github.com/Shuronglin/BinAgg)                                                    | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 17 | PRIME: A Modular Approach for Private Synthetic Data                                                                                    | PRIME: A Modular Approach for Private Synthetic Data                                                                                    | DP合成データ生成を、クエリ選択・ノイズ付与・測定・生成分布フィットなどのモジュールに分解し、組み替え可能にする設計フレームワークと見られる。公開preprintは現時点で未確認。                                                                                                        | 公開preprint未確認（TPDP掲載のみ確認）                                                                                                          | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 18 | Tight Auditing of Differential Privacy in MST and AIM                                                                                   | Tight Auditing of Differential Privacy in MST and AIM                                                                                   | MST/AIMに対するプライバシー監査研究。Gaussian Differential Privacyに基づき、false-positive / false-negativeのトレードオフとして実装上のプライバシー保証を監査する。DP合成データの実運用における監査観点として重要。                                                      | [https://arxiv.org/abs/2604.18352](https://arxiv.org/abs/2604.18352)                                                                        | [https://github.com/sassoftware/dpmm](https://github.com/sassoftware/dpmm)                                                      | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
| 19 | Better Marginal Measurement via Residual Decomposition                                                                                  | Better Marginal Measurement via Residual Decomposition                                                                                  | AIM/MST/Private-PGM系の品質を左右するmarginal measurementを、残差分解により改善する研究と見られる。公開preprintは現時点で未確認。                                                                                                          | 公開preprint未確認（TPDP掲載のみ確認）                                                                                                          | 公開コード未確認                                                                                                                     | [https://tpdp.journalprivacyconfidentiality.org/2026/](https://tpdp.journalprivacyconfidentiality.org/2026/)                             |
